0, 0, 288, 1104, -1, -1, -1, -1
1, 0.011305, 288, 934, -1, -1, -1, -1
2, 0.049858, 1572, 7626, -1, -1, -1, -1
3, 3.31799, 15407, 83630, 2.72785e+08, 7683.62, 1, -1
7, 1.27045, 2956, 16071, 124609, 25.099, -1, -1
3, 0.04375, 3090, 16781, 1.12085e+06, 99.6666, 0, -1
6, 0.04808, 13012, 68651, 1.12085e+06, 29.0223, -1, -1
7, 0.559199, 4994, 25598, 8812.23, 7.44054, -1, -1
8, 0.159025, 4994, 25000, 354.039, 5.38727, -1, -1
9, 0.056143, 4994, 25000, 277.088, 4.70166, -1, -1
6, 0.033839, 9288, 45006, 277.088, 4.53173, -1, -1
7, 0.354115, 4909, 24580, 85.5036, 4.39432, -1, -1
8, 0.10697, 4909, 24507, 85.5036, 4.32018, -1, -1
9, 0.05662, 4909, 24507, 85.5036, 4.19685, -1, -1
6, 0.029878, 8377, 39798, 85.5036, 4.22274, -1, -1
7, 0.243004, 4962, 24729, 33.3379, 4.18726, -1, -1
8, 0.090946, 4962, 24715, 33.3379, 4.16701, -1, -1
9, 0.054381, 4962, 24715, 31.2569, 4.11513, -1, -1
6, 0.029778, 8100, 38213, 31.2569, 4.16565, -1, -1
7, 0.216815, 4996, 24880, 31.2569, 4.11846, -1, -1
8, 0.086843, 4996, 24881, 31.2569, 4.11009, -1, -1
9, 0.047942, 4996, 24881, 31.2569, 4.08686, -1, -1
6, 0.041796, 11534, 56518, 32.5967, 4.47486, -1, -1
7, 0.369726, 6298, 32306, 31.2569, 4.07037, -1, -1
8, 0.166166, 6298, 32234, 31.2569, 4.01106, -1, -1
9, 0.056219, 6298, 32234, 31.2569, 3.90237, -1, -1
6, 0.033393, 9993, 48417, 31.2569, 4.03009, -1, -1
7, 0.246487, 6396, 32788, 31.2569, 3.90196, -1, -1
8, 0.123819, 6396, 32780, 31.2569, 3.8846, -1, -1
9, 0.055258, 6396, 32780, 31.2569, 3.83512, -1, -1
6, 0.039593, 11372, 55984, 31.2569, 4.11532, -1, -1
7, 0.317302, 7120, 36991, 31.2569, 3.84926, -1, -1
8, 0.159116, 7120, 36934, 31.2569, 3.82026, -1, -1
9, 0.0573, 7120, 36934, 23.7882, 3.75212, -1, -1
6, 0.039422, 10388, 50955, 23.7882, 3.90097, -1, -1
7, 0.24675, 7102, 36870, 23.7882, 3.75713, -1, -1
8, 0.131329, 7102, 36844, 23.7882, 3.74812, -1, -1
9, 0.057279, 7102, 36844, 23.7882, 3.71991, -1, -1
6, 0.035626, 10532, 52016, 28.3547, 3.9074, -1, -1
7, 0.272881, 7402, 38567, 23.7882, 3.74524, -1, -1
8, 0.143602, 7402, 38567, 23.7882, 3.73645, -1, -1
9, 0.048407, 7402, 38567, 17.3217, 3.71268, -1, -1
6, 0.036588, 10242, 50506, 18.7106, 3.84395, -1, -1
7, 0.238728, 7387, 38548, 17.3217, 3.7206, -1, -1
8, 0.125076, 7387, 38543, 17.3217, 3.71692, -1, -1
9, 0.050136, 7387, 38543, 17.3217, 3.70481, -1, -1
6, 0.035507, 10032, 49485, 18.7106, 3.83579, -1, -1
7, 0.262056, 7377, 38501, 10.4915, 3.71251, -1, -1
8, 0.119374, 7377, 38498, 8.05641, 3.70897, -1, -1
9, 0.048621, 7377, 38498, 7.92903, 3.69996, -1, -1
7, 0.199586, 7321, 38213, 7.92903, 3.69855, -1, -1
7, 0.484248, 4284, 21899, 9.98869, 4.45013, -1, -1
8, 0.09459, 4284, 21696, 9.97167, 4.28842, -1, -1
7, 0.179183, 4061, 20444, 9.97717, 4.37123, -1, -1
8, 0.067588, 4061, 20401, 9.97717, 4.3347, -1, -1
7, 0.126951, 4035, 20256, 9.97717, 4.34792, -1, -1
8, 0.073909, 4035, 20253, 9.97717, 4.34476, -1, -1
7, 0.111247, 4033, 20241, 9.97717, 4.34556, -1, -1
8, 0.071366, 4033, 20240, 9.97717, 4.34539, -1, -1
4, 8.5606, 4033, 20240, 9.97717, 4.34539, -1, -1
5, 0.114938, 1308, 4007, 9.969, 5.83494, -1, -1
-1, 12.0984, 1308, 4007, 9.969, 5.83494, 0, 82
